elapsed_s,raw_bass,smoothed_b,scaled_b,mean_history,kick_ratio_needed,drop_ratio_needed,is_kick,is_drop,beat_bpm
2.223,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.224,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.224,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.224,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.224,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.224,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.224,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.308,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.308,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.308,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.308,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.309,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.309,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.309,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.309,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.393,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.394,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.394,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.394,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.394,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.394,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.394,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.478,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.479,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.479,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.479,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.479,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.479,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.479,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.564,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.564,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.564,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.564,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.564,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.564,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.564,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.564,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.650,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.650,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.651,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.651,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.651,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.652,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.652,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.734,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.737,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.737,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.737,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.737,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.737,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.738,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.819,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.820,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.820,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.820,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.820,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.820,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.820,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.820,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.905,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.906,0.33830,0.16915,7,1.00,1.30,1.80,0,0,0.0
2.906,0.30270,0.23593,10,1.00,1.30,1.80,0,0,0.0
2.907,0.57304,0.40448,18,0.45,0.59,0.81,0,0,0.0
2.907,1.65383,1.02916,46,1.60,2.08,2.88,0,0,0.0
2.908,1.68374,1.35645,61,3.12,4.06,5.62,1,0,0.0
2.908,3.40120,2.37883,107,5.80,7.54,10.44,1,0,0.0
2.990,1.62373,2.00128,90,8.05,10.47,14.49,1,0,0.0
2.991,4.43487,3.21808,144,11.65,15.15,20.97,0,1,0.0
2.991,1.62525,2.42166,108,14.35,18.66,25.83,1,0,0.0
2.991,4.34188,3.38177,152,18.15,23.59,32.67,0,1,0.0
2.997,0.49122,1.93650,87,20.32,26.42,36.59,1,0,0.0
2.998,5.34233,3.63941,163,24.40,31.72,43.92,0,1,0.0
